uri	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms
spotify:track:126B1mu0tb4gEqyjufUjms	0.802	0.886	10	-7.676	0	0.0393	3e-05	0.902	0.0986	0.0774	120.018	512697
spotify:track:200DiJQhDi69nkGXOrrJgn	0.72	0.534	4	-11.949	0	0.0375	0.0223	0.86	0.11	0.0393	120.009	417812
spotify:track:5dVNX4bu0pQImyIcsodydt	0.657	0.56	11	-13.18	0	0.036	0.00228	0.923	0.111	0.0566	121.995	403505
spotify:track:0eKe1PGoUHeTY9CGn0qH80	0.88	0.482	10	-11.418	1	0.0533	0.000369	0.865	0.114	0.465	118.996	390037
spotify:track:6X8Ma5Du7eytD3vMeL2YFy	0.801	0.602	8	-8.268	0	0.0524	0.00592	0.796	0.217	0.781	128.027	587040
spotify:track:7qPdQj8fmjU4xJbqdYYTU5	0.743	0.654	6	-10.368	1	0.0758	7.6e-05	0.778	0.0799	0.372	138.039	426053
spotify:track:2LfI8RId2sMaeyrNt53JHo	0.736	0.683	4	-8.04	0	0.0574	0.00862	0.773	0.0756	0.128	121.998	409184
spotify:track:5x0e4uMMRFnRMxcsEYaSgC	0.849	0.704	2	-6.866	1	0.0603	0.00929	0.145	0.0597	0.369	124.997	293000
spotify:track:05ElNczF9DQTlLa1w8B67N	0.573	0.703	7	-11.031	1	0.0513	0.0149	0.921	0.111	0.0377	133.997	329552
spotify:track:7t7V8DTZcNjQsxW7nqa1xJ	0.758	0.794	10	-7.833	1	0.0696	0.000191	0.764	0.13	0.163	127.994	434709
spotify:track:1DTLuAyZhiqLbxpZM3QoaY	0.521	0.861	1	-7.398	0	0.0298	0.000998	0.845	0.299	0.06	127.995	230625
spotify:track:77aKtsd1ZO94xmQmX671db	0.793	0.646	0	-7.669	0	0.0557	0.00119	0.697	0.0531	0.488	121.999	630492
spotify:track:4lK6ZjULKkSyQMUgXZEyCM	0.735	0.833	6	-8.268	0	0.0368	0.000457	0.914	0.0954	0.124	122.023	426804
spotify:track:3gMpytR0jqQHKlq3TQHeWc	0.817	0.621	7	-6.241	1	0.0569	0.0015	0.102	0.0654	0.468	124.015	372500
spotify:track:1GHOLip5jcgRIBqd8QUx7N	0.788	0.786	3	-9.321	0	0.0381	0.0844	0.877	0.138	0.157	122.008	255779
spotify:track:54MaLhOQkRH21TVbpF4PZO	0.796	0.599	6	-9.015	0	0.0417	0.000393	0.815	0.0865	0.223	126.008	466823
spotify:track:36V6S72f8wJ06yWyqq8yAE	0.566	0.733	10	-10.057	0	0.0314	0.014	0.195	0.116	0.118	128.014	326253
spotify:track:5uwnXVq6NrQDvIlVZznVaC	0.633	0.772	6	-4.955	0	0.0768	0.0426	6.09e-06	0.417	0.304	133.978	188100
spotify:track:5g7Qr5tcNvpLyXjUWoWgCb	0.735	0.496	1	-8.535	1	0.0544	0.166	0.342	0.102	0.285	123.985	383328
spotify:track:6XBY1sYuQpg3uqD15lMy2y	0.68	0.94	6	-4.629	1	0.0736	0.000199	0.00824	0.0801	0.254	128.012	411094
spotify:track:3fLXYKCsk4QRYTHUFtcL03	0.559	0.885	7	-6.507	0	0.0355	0.00129	0.0688	0.0576	0.0752	127.973	277969
spotify:track:5Fwy2NWmrpqYty8JcVsziA	0.719	0.871	7	-6.051	1	0.0415	0.000893	0.00107	0.0435	0.274	125.004	449400
spotify:track:4Z71ZiUlYReaY7dxv6MncY	0.745	0.772	7	-8.701	1	0.0518	0.00651	0.81	0.142	0.0905	129.992	347077
spotify:track:7KTXRffEb5n9bqUSgYmNXk	0.561	0.987	9	-4.26	0	0.0447	0.0763	0.508	0.183	0.0397	122.979	229024
spotify:track:1kUEp7z1Ivfk2caT9uQP1P	0.544	0.97	0	-6.599	1	0.0384	0.000173	0.874	0.121	0.13	131.974	220000
spotify:track:0Bwy2Bwxqzhx8bfSBgWY5W	0.666	0.863	4	-6.357	0	0.0412	7.44e-05	0.914	0.201	0.159	124.991	401150
spotify:track:2HPeTDcsRgHHwG70TGlhRF	0.586	0.773	0	-7.539	1	0.0379	9.07e-05	0.917	0.272	0.0398	129.999	384000
spotify:track:1WsHKAuN9vDthcmimdqqaY	0.751	0.721	11	-8.093	0	0.0655	0.000252	0.574	0.119	0.0388	126.02	502969
spotify:track:3QeQ9CW00jI5J6NPF7vel0	0.608	0.987	6	-5.872	0	0.164	0.0157	0.489	0.314	0.0842	130.004	216274
spotify:track:7l4PZF1AU7bu8FFbMtMyRo	0.787	0.927	1	-5.191	1	0.0445	0.000144	0.896	0.0668	0.548	133.998	374328
spotify:track:6VouvfyygVMuODigWmheJT	0.8	0.879	8	-5.605	0	0.0618	0.000424	0.715	0.057	0.175	127.007	396852
