uri	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	clusters
spotify:track:10DgWA0WUnRyIEWZaYr8X2	0.489	0.988	2	-6.997	0	0.0704	0.000524	0.252	0.095	0.325	139.984	329133	12
spotify:track:1oj2pRb6WTMLSXWQYzLQi3	0.826	0.572	9	-9.101	1	0.115	0.000876	0.748	0.059	0.527	150.029	320004	-1
spotify:track:4ZTJg1dnfr2hkFG8LAi3sQ	0.498	0.923	6	-4.137	0	0.0439	0.00519	0.433	0.19	0.394	155.042	182903	12
spotify:track:4az0mceEeIrQ9zSgDOFR8K	0.706	0.918	10	-7.341	0	0.0435	0.026	0.906	0.0815	0.522	122.996	429284	-1
spotify:track:1IYnbfPOJpwOrJG5eqsIKx	0.809	0.739	3	-7.907	0	0.0456	0.0168	0.905	0.0611	0.154	122.006	440840	-1
spotify:track:0LfGM1ufRoAijRPZzRGh6O	0.703	0.85	5	-11.245	1	0.0381	0.0121	0.905	0.172	0.253	117.993	374237	-1
spotify:track:0xP3AmNuR27Sghq4mH5kyP	0.641	0.929	10	-6.828	1	0.0367	0.000185	0.902	0.141	0.508	120.994	432496	-1
spotify:track:5GBzrOuiN7LPRDDpmauKWU	0.78	0.848	0	-10.478	1	0.0536	0.00318	0.885	0.0404	0.215	121.998	480000	-1
spotify:track:1BErI30goByAqdpvzdZ5BA	0.789	0.855	10	-9.684	0	0.0506	0.00805	0.859	0.0562	0.157	123.998	455447	-1
spotify:track:1nlAE3d0Q18d4BNwPprnoC	0.758	0.786	7	-8.412	1	0.0483	0.000615	0.761	0.54	0.121	122.008	480000	2
spotify:track:5fsd2enBrO4piPQ1ce8pjJ	0.771	0.862	9	-7.045	0	0.0488	0.00637	0.877	0.0785	0.812	121.001	478470	6
spotify:track:40D8AWY5FYpKLiOkvUhoAn	0.811	0.546	7	-8.981	1	0.0642	0.0173	0.827	0.069	0.135	118.005	464000	-1
spotify:track:1KQUb560cwduG9rBiDJ5XI	0.803	0.911	9	-6.586	1	0.0506	0.000379	0.87	0.116	0.567	123.011	515122	6
spotify:track:5yWlMxA89F3dymQ4dTg94a	0.8	0.74	7	-8.976	1	0.0426	0.000603	0.767	0.0783	0.611	122.012	371048	-1
spotify:track:03OYdj8G1m5ODOk3gOfB1G	0.75	0.894	11	-8.287	1	0.0486	0.000794	0.853	0.0973	0.211	122.003	572951	-1
spotify:track:2vPlo8KnXYwlx5PFOjLO1Q	0.754	0.692	1	-7.05	0	0.0367	0.00162	0.857	0.102	0.345	119.993	425806	-1
spotify:track:1TiQHS0Yu6GmyTIh8YNGA5	0.707	0.8	1	-8.077	1	0.0602	0.0183	0.831	0.0839	0.62	122.997	474146	6
spotify:track:3BtjtJf7tAbYYlehn2YXhL	0.799	0.812	6	-9.235	1	0.0532	0.000161	0.891	0.109	0.0382	123.99	374816	-1
spotify:track:3dMiWrtbaUTyxGjP0Nnnwm	0.592	0.394	6	-17.265	1	0.0387	0.667	0.377	0.11	0.0357	120.983	298000	-1
spotify:track:0kgjbGHyYbjpUwEH9Raelj	0.741	0.95	8	-7.309	1	0.0671	0.0017	0.789	0.0906	0.035	125.012	308214	28
