uri	artists	track_title	release_date	release_date_precision	genre	record_label	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	clusters
spotify:track:126B1mu0tb4gEqyjufUjms	&ME	The Rapture Pt.II	2018	day	Melodic House & Techno	Keinemusik	0.802	0.886	10	-7.676	0	0.0393	3e-05	0.902	0.0986	0.0774	120.018	512697	35
spotify:track:200DiJQhDi69nkGXOrrJgn	&ME	The Rapture Pt.III	2023	day	Melodic House & Techno	Keinemusik	0.72	0.534	4	-11.949	0	0.0375	0.0223	0.86	0.11	0.0393	120.009	417812	-1
spotify:track:5dVNX4bu0pQImyIcsodydt	&ME	What You Expected	2021	day	Melodic House & Techno	Keinemusik	0.657	0.56	11	-13.18	0	0.036	0.00228	0.923	0.111	0.0566	121.995	403505	31
spotify:track:0eKe1PGoUHeTY9CGn0qH80	16BL	Always (Extended Mix)	2022	day	Melodic House & Techno	Anjunadeep	0.88	0.482	10	-11.418	1	0.0533	0.000369	0.865	0.114	0.465	118.996	390037	31
spotify:track:6X8Ma5Du7eytD3vMeL2YFy	2raumwohnung	Wir werden sehen (Paul Kalkbrenner Remix)	2010	day	Melodic House & Techno	It Sounds	0.801	0.602	8	-8.268	0	0.0524	0.00592	0.796	0.217	0.781	128.027	587040	31
spotify:track:7qPdQj8fmjU4xJbqdYYTU5	4 Strings	Take Me Away (Into The Night) (Vocal Mix)	2002	day	Trance (Main Floor)	SPINNIN' RECORDS	0.743	0.654	6	-10.368	1	0.0758	7.6e-05	0.778	0.0799	0.372	138.039	426053	-1
spotify:track:2LfI8RId2sMaeyrNt53JHo	8Kays	Easy	2021	day	Melodic House & Techno	ATLANT	0.736	0.683	4	-8.04	0	0.0574	0.00862	0.773	0.0756	0.128	121.998	409184	3
spotify:track:5x0e4uMMRFnRMxcsEYaSgC	A-Trak	My Own Way (Extended)	2021	day	House	Fool's Gold Records	0.849	0.704	2	-6.866	1	0.0603	0.00929	0.145	0.0597	0.369	124.997	293000	-1
spotify:track:05ElNczF9DQTlLa1w8B67N	A.Paul	5th Density (Robert S (PT) Remix)	2020	day	Techno (Peak Time / Driving)	Sleaze Records (UK)	0.573	0.703	7	-11.031	1	0.0513	0.0149	0.921	0.111	0.0377	133.997	329552	39
spotify:track:7t7V8DTZcNjQsxW7nqa1xJ	A.S.H	Together	2019	day	Techno (Peak Time / Driving)	ESP Institute	0.758	0.794	10	-7.833	1	0.0696	0.000191	0.764	0.13	0.163	127.994	434709	-1
spotify:track:1DTLuAyZhiqLbxpZM3QoaY	Above & Beyond	Projection	2022	day	Trance (Main Floor)	Anjunabeats	0.521	0.861	1	-7.398	0	0.0298	0.000998	0.845	0.299	0.06	127.995	230625	28
spotify:track:77aKtsd1ZO94xmQmX671db	Above & Beyond	Gratitude (Sébastien Léger Remix)	2022	day	Organic House / Downtempo	Anjunabeats	0.793	0.646	0	-7.669	0	0.0557	0.00119	0.697	0.0531	0.488	121.999	630492	13
spotify:track:4lK6ZjULKkSyQMUgXZEyCM	Above & Beyond	Homecoming (Enamour Extended Mix)	2020	day	Melodic House & Techno	Anjunabeats	0.735	0.833	6	-8.268	0	0.0368	0.000457	0.914	0.0954	0.124	122.023	426804	33
spotify:track:3gMpytR0jqQHKlq3TQHeWc	Above & Beyond	Almost Home (Above & Beyond Extended Deep Mix)	2021	day	Trance (Main Floor)	Anjunabeats	0.817	0.621	7	-6.241	1	0.0569	0.0015	0.102	0.0654	0.468	124.015	372500	14
spotify:track:1GHOLip5jcgRIBqd8QUx7N	Above & Beyond	Believer (Marsh's Guatape Remix)	2022	day	Melodic House & Techno	Cercle Records	0.788	0.786	3	-9.321	0	0.0381	0.0844	0.877	0.138	0.157	122.008	255779	-1
spotify:track:54MaLhOQkRH21TVbpF4PZO	Above & Beyond	Is It Love? (1001) (Matt Lange Extended Mix)	2019	day	House	Anjunabeats	0.796	0.599	6	-9.015	0	0.0417	0.000393	0.815	0.0865	0.223	126.008	466823	31
spotify:track:36V6S72f8wJ06yWyqq8yAE	Above & Beyond	Bittersweet & Blue	2020	day	Trance (Main Floor)	Anjunabeats	0.566	0.733	10	-10.057	0	0.0314	0.014	0.195	0.116	0.118	128.014	326253	4
spotify:track:5uwnXVq6NrQDvIlVZznVaC	Above & Beyond	Sun & Moon (Above & Beyond Club Mix)	2020	day	Trance (Main Floor)	Anjunabeats	0.633	0.772	6	-4.955	0	0.0768	0.0426	6.09e-06	0.417	0.304	133.978	188100	4
spotify:track:5g7Qr5tcNvpLyXjUWoWgCb	Above & Beyond	Northern Soul (Ben Böhmer Remix)	2018	day	Melodic House & Techno	Anjunabeats	0.735	0.496	1	-8.535	1	0.0544	0.166	0.342	0.102	0.285	123.985	383328	-1
spotify:track:6XBY1sYuQpg3uqD15lMy2y	Above & Beyond	Thing Called Love (Oliver Heldens Extended Mix)	2021	day	Trance (Main Floor)	Anjunabeats	0.68	0.94	6	-4.629	1	0.0736	0.000199	0.00824	0.0801	0.254	128.012	411094	4
spotify:track:3fLXYKCsk4QRYTHUFtcL03	Above & Beyond	Can't Sleep (Ruben de Ronde & Elevven Remix)	2022	day	Trance (Main Floor)	Anjunabeats	0.559	0.885	7	-6.507	0	0.0355	0.00129	0.0688	0.0576	0.0752	127.973	277969	4
spotify:track:5Fwy2NWmrpqYty8JcVsziA	Above & Beyond	See The End (Nora En Pure Extended Mix)	2019	day	Melodic House & Techno	Anjunabeats	0.719	0.871	7	-6.051	1	0.0415	0.000893	0.00107	0.0435	0.274	125.004	449400	4
spotify:track:4Z71ZiUlYReaY7dxv6MncY	Above & Beyond	Alchemy (i_o Extended Mix)	2019	day	Trance (Main Floor)	Anjunabeats	0.745	0.772	7	-8.701	1	0.0518	0.00651	0.81	0.142	0.0905	129.992	347077	40
spotify:track:7KTXRffEb5n9bqUSgYmNXk	Above & Beyond	Always (Tinlicker Remix)	2019	day	Trance (Main Floor)	Anjunabeats	0.561	0.987	9	-4.26	0	0.0447	0.0763	0.508	0.183	0.0397	122.979	229024	17
spotify:track:1kUEp7z1Ivfk2caT9uQP1P	Adam Beyer	Legend	2023	day	Techno (Peak Time / Driving)	Drumcode	0.544	0.97	0	-6.599	1	0.0384	0.000173	0.874	0.121	0.13	131.974	220000	-1
spotify:track:0Bwy2Bwxqzhx8bfSBgWY5W	Adam Beyer	What You Need	2015	day	Techno (Peak Time / Driving)	Drumcode	0.666	0.863	4	-6.357	0	0.0412	7.44e-05	0.914	0.201	0.159	124.991	401150	-1
spotify:track:2HPeTDcsRgHHwG70TGlhRF	Adam Beyer	Teach Me (Amelie Lens Main Mix)	2019	day	Techno (Peak Time / Driving)	Drumcode	0.586	0.773	0	-7.539	1	0.0379	9.07e-05	0.917	0.272	0.0398	129.999	384000	27
spotify:track:1WsHKAuN9vDthcmimdqqaY	Adam Beyer	Your Mind	2018	day	Techno (Peak Time / Driving)	Drumcode	0.751	0.721	11	-8.093	0	0.0655	0.000252	0.574	0.119	0.0388	126.02	502969	35
spotify:track:3QeQ9CW00jI5J6NPF7vel0	Adam Beyer	Your Mind (Epic Edit)	2022	day	Techno (Peak Time / Driving)	Drumcode	0.608	0.987	6	-5.872	0	0.164	0.0157	0.489	0.314	0.0842	130.004	216274	-1
spotify:track:7l4PZF1AU7bu8FFbMtMyRo	Adam Beyer	Restore My Soul	2021	day	Techno (Peak Time / Driving)	Drumcode	0.787	0.927	1	-5.191	1	0.0445	0.000144	0.896	0.0668	0.548	133.998	374328	8
spotify:track:6VouvfyygVMuODigWmheJT	Adam Beyer	Space Date	2018	day	Techno (Peak Time / Driving)	Drumcode	0.8	0.879	8	-5.605	0	0.0618	0.000424	0.715	0.057	0.175	127.007	396852	40
spotify:track:1lbUtnuS8AYvKd0lziKpJ4	Adam Beyer	Space Date (Pleasurekraft Remix)	2019	day	Techno (Peak Time / Driving)	Drumcode	0.723	0.822	10	-9.421	0	0.0452	0.000607	0.788	0.112	0.0629	127.007	549051	-1
spotify:track:2G4GRlIkay5zMX0eXFncFI	Adana Twins	The Curve	2021	day	Indie Dance	Watergate Records	0.8	0.597	2	-6.564	1	0.0736	4.49e-05	0.892	0.0902	0.548	119.996	400799	13
spotify:track:4ukLAzXMLNzr9yxjlH7mJF	Adriatique	Voices From The Dawn	2018	day	Melodic House & Techno	Afterlife Records	0.716	0.778	5	-10.031	1	0.0331	9.66e-05	0.876	0.0964	0.0278	121.011	428940	-1
spotify:track:51HdhfbF3LvPfJuSGf6Bot	Aevion	The Journey (Oliver Heldens Edit)	2017	day	Mainstage	Heldeep Records	0.663	0.708	6	-7.789	1	0.0406	0.0072	0.794	0.125	0.235	121.986	271691	28
spotify:track:6vQ78qxkllkimCtAyIZph2	Africanism	Edony (Ferdy Extended Remix)	2019	day	House	Yellow Productions presents Africanism	0.796	0.935	7	-7.542	1	0.0466	0.000432	0.882	0.102	0.241	125.009	277863	34
spotify:track:2vhLsN2p6FHPPm4LfEBB3N	Afro Medusa	Pasilda (Knee Deep Club Mix)	1999	year	House	Armada Music	0.711	0.604	5	-8.675	0	0.0532	0.000882	0.818	0.0859	0.526	127.001	426000	-1
spotify:track:6X6Ow0iioCrYQSK1QDHQbC	Age Of Love	The Age Of Love (Charlotte de Witte & Enrico Sangiuliano Remix)	2021	day	Techno (Peak Time / Driving)	DIKI Records Classics	0.748	0.909	5	-8.322	0	0.0505	0.0576	0.89	0.0945	0.0617	130.0	489480	33
spotify:track:2N9lsIRGL2ElSOGeoAFjR4	Agent Greg	Bootyshake (Original Mix)	2019	day	Tech House	Cube Recordings	0.871	0.94	4	-6.366	0	0.0757	0.00168	0.832	0.142	0.672	125.008	320410	7
spotify:track:1NB8HcUSulY9WexgXms8ff	Agents Of Time	Dream Vision	2018	day	Melodic House & Techno	Afterlife Records	0.71	0.817	5	-8.785	0	0.0463	0.00831	0.895	0.129	0.255	124.997	385000	-1
spotify:track:0UpOECrQV1WCxepq5aSTyO	Aiiso	Hopeful For A Sign	2017	day	Deep House	Anjunadeep	0.742	0.513	0	-11.965	1	0.0301	0.327	0.903	0.133	0.435	119.97	258009	19
spotify:track:02f2u3zaWbEYDcBnqNZz2r	Aiiso	Programmer	2019	day	Melodic House & Techno	Anjunadeep	0.735	0.856	8	-10.15	1	0.0458	0.0026	0.814	0.0731	0.242	120.021	246540	16
spotify:track:0gDfkQYmyiq0eZFLof6hbh	Airbase	Escape (Radio Edit)	2006	day	Trance (Main Floor)	Armada Music	0.405	0.882	7	-8.774	1	0.0322	0.00037	0.961	0.1	0.0571	134.782	194947	16
