uri	artists	track_title	release_date	release_date_precision	genre	record_label
spotify:track:126B1mu0tb4gEqyjufUjms	&ME	The Rapture Pt.II	2018-11-23	day	Melodic House & Techno	Keinemusik
spotify:track:200DiJQhDi69nkGXOrrJgn	&ME, Black Coffee, Keinemusik	The Rapture Pt.III	2023-06-09	day	Melodic House & Techno	Keinemusik
spotify:track:5dVNX4bu0pQImyIcsodydt	&ME, Rampa, Adam Port	What You Expected	2021-11-12	day	Melodic House & Techno	Keinemusik
spotify:track:0eKe1PGoUHeTY9CGn0qH80	16BL, Wild Dark	Always (Extended Mix)	2022-02-22	day	Melodic House & Techno	Anjunadeep
spotify:track:6X8Ma5Du7eytD3vMeL2YFy	2raumwohnung, Paul Kalkbrenner	Wir werden sehen (Paul Kalkbrenner Remix)	2010-07-02	day	Melodic House & Techno	It Sounds
spotify:track:7qPdQj8fmjU4xJbqdYYTU5	4 Strings	Take Me Away (Into The Night) (Vocal Mix)	2002-09-17	day	Trance (Main Floor)	SPINNIN' RECORDS
spotify:track:2LfI8RId2sMaeyrNt53JHo	8Kays, Diana Miro	Easy	2021-11-26	day	Melodic House & Techno	ATLANT
spotify:track:5x0e4uMMRFnRMxcsEYaSgC	A-Trak, Ferreck Dawn	My Own Way (Extended)	2021-01-08	day	House	Fool's Gold Records
spotify:track:05ElNczF9DQTlLa1w8B67N	A.Paul, Robert S PT	5th Density (Robert S (PT) Remix)	2020-05-25	day	Techno (Peak Time / Driving)	Sleaze Records (UK)
spotify:track:7t7V8DTZcNjQsxW7nqa1xJ	A.S.H	Together	2019-06-07	day	Techno (Peak Time / Driving)	ESP Institute
spotify:track:1DTLuAyZhiqLbxpZM3QoaY	Above & Beyond	Projection	2022-07-22	day	Trance (Main Floor)	Anjunabeats
spotify:track:77aKtsd1ZO94xmQmX671db	Above & Beyond, anamē, Marty Longstaff, Sébastien Léger	Gratitude (Sébastien Léger Remix)	2022-08-05	day	Organic House / Downtempo	Anjunabeats
spotify:track:4lK6ZjULKkSyQMUgXZEyCM	Above & Beyond, Enamour	Homecoming (Enamour Extended Mix)	2020-06-10	day	Melodic House & Techno	Anjunabeats
spotify:track:3gMpytR0jqQHKlq3TQHeWc	Above & Beyond, Justine Suissa	Almost Home (Above & Beyond Extended Deep Mix)	2021-10-14	day	Trance (Main Floor)	Anjunabeats
spotify:track:1GHOLip5jcgRIBqd8QUx7N	Above & Beyond, Marsh	Believer (Marsh's Guatape Remix)	2022-01-06	day	Melodic House & Techno	Cercle Records
spotify:track:54MaLhOQkRH21TVbpF4PZO	Above & Beyond, Matt Lange	Is It Love? (1001) (Matt Lange Extended Mix)	2019-06-27	day	House	Anjunabeats
spotify:track:36V6S72f8wJ06yWyqq8yAE	Above & Beyond, Richard Bedford	Bittersweet & Blue	2020-03-27	day	Trance (Main Floor)	Anjunabeats
spotify:track:5uwnXVq6NrQDvIlVZznVaC	Above & Beyond, Richard Bedford	Sun & Moon (Above & Beyond Club Mix)	2020-05-21	day	Trance (Main Floor)	Anjunabeats
spotify:track:5g7Qr5tcNvpLyXjUWoWgCb	Above & Beyond, Richard Bedford, Ben Böhmer	Northern Soul (Ben Böhmer Remix)	2018-02-16	day	Melodic House & Techno	Anjunabeats
spotify:track:6XBY1sYuQpg3uqD15lMy2y	Above & Beyond, Richard Bedford, Oliver Heldens	Thing Called Love (Oliver Heldens Extended Mix)	2021-01-08	day	Trance (Main Floor)	Anjunabeats
spotify:track:3fLXYKCsk4QRYTHUFtcL03	Above & Beyond, Ruben de Ronde, Elevven	Can't Sleep (Ruben de Ronde & Elevven Remix)	2022-05-30	day	Trance (Main Floor)	Anjunabeats
spotify:track:5Fwy2NWmrpqYty8JcVsziA	Above & Beyond, Seven Lions, Opposite the Other, Nora En Pure	See The End (Nora En Pure Extended Mix)	2019-11-07	day	Melodic House & Techno	Anjunabeats
spotify:track:4Z71ZiUlYReaY7dxv6MncY	Above & Beyond, Zoë Johnston, i_o	Alchemy (i_o Extended Mix)	2019-05-21	day	Trance (Main Floor)	Anjunabeats
spotify:track:7KTXRffEb5n9bqUSgYmNXk	Above & Beyond, Zoë Johnston, Tinlicker	Always (Tinlicker Remix)	2019-06-04	day	Trance (Main Floor)	Anjunabeats
spotify:track:1kUEp7z1Ivfk2caT9uQP1P	Adam Beyer	Legend	2023-02-10	day	Techno (Peak Time / Driving)	Drumcode
